Operator,Osteocytes,Haversian Canal,Cement Line
Alice,0.682331722906991,0.9771908811594433,0.7539950588039342
Christina,0.7982076608946744,0.942796941158562,0.6939697051012764
Dominique,0.7305790993449274,0.9682138465051255,0.8441117413552202
Florian,0.6595396734915099,0.9361633091248495,0.6884825716427162
Gabriela,0.7694536075730533,0.9604105160693328,0.732065031322001
Philippe,1.0,0.9274306292737055,0.8628586762406194
Simone,0.5730812720187642,0.9399728405644995,0.7620175625283379
Sofia,0.43804842492827833,0.9683059802833714,0.7872324675444846
Stefan,0.9436599975703434,0.9950287817911608,0.9043776776378492
Tatiana,0.7015447010120454,0.9309557477457271,0.8247633500198945
Tony,0.844315070413322,1.0,1.0
Torne,0.729579202138098,0.9475598569122369,0.7180834821552498
